Day,Month,High(°F),Low(°F),Precip.month(inch),Precip.year(inch),Snowmonth(inch),Snowyear(inch),City,State
1,jan,51.3,25.7,0.04,0.04,0,0,Alamo,Nevada
2,jan,51.4,25.8,0.04,0.04,0,0,Alamo,Nevada
3,jan,51.5,25.9,0.08,0.08,0.12,0.12,Alamo,Nevada
4,jan,51.6,25.9,0.08,0.08,0.12,0.12,Alamo,Nevada
5,jan,51.7,26,0.12,0.12,0.12,0.12,Alamo,Nevada
6,jan,51.9,26.1,0.16,0.16,0.12,0.12,Alamo,Nevada
7,jan,52,26.2,0.16,0.16,0.12,0.12,Alamo,Nevada
8,jan,52.1,26.3,0.2,0.2,0.2,0.2,Alamo,Nevada
9,jan,52.3,26.4,0.2,0.2,0.2,0.2,Alamo,Nevada
10,jan,52.4,26.5,0.24,0.24,0.2,0.2,Alamo,Nevada
11,jan,52.5,26.6,0.28,0.28,0.2,0.2,Alamo,Nevada
12,jan,52.7,26.7,0.28,0.28,0.2,0.2,Alamo,Nevada
13,jan,52.8,26.8,0.31,0.31,0.31,0.31,Alamo,Nevada
14,jan,53,26.9,0.35,0.35,0.31,0.31,Alamo,Nevada
15,jan,53.1,26.9,0.35,0.35,0.31,0.31,Alamo,Nevada
16,jan,53.3,27,0.39,0.39,0.31,0.31,Alamo,Nevada
17,jan,53.4,27.1,0.43,0.43,0.31,0.31,Alamo,Nevada
18,jan,53.6,27.2,0.43,0.43,0.39,0.39,Alamo,Nevada
19,jan,53.7,27.3,0.47,0.47,0.39,0.39,Alamo,Nevada
20,jan,53.9,27.4,0.51,0.51,0.39,0.39,Alamo,Nevada
21,jan,54,27.4,0.51,0.51,0.39,0.39,Alamo,Nevada
22,jan,54.2,27.5,0.55,0.55,0.39,0.39,Alamo,Nevada
23,jan,54.3,27.6,0.55,0.55,0.51,0.51,Alamo,Nevada
24,jan,54.4,27.7,0.59,0.59,0.51,0.51,Alamo,Nevada
25,jan,54.6,27.8,0.59,0.59,0.51,0.51,Alamo,Nevada
26,jan,54.7,27.9,0.63,0.63,0.51,0.51,Alamo,Nevada
27,jan,54.9,27.9,0.67,0.67,0.51,0.51,Alamo,Nevada
28,jan,55,28,0.67,0.67,0.59,0.59,Alamo,Nevada
29,jan,55.2,28.1,0.71,0.71,0.59,0.59,Alamo,Nevada
30,jan,55.3,28.2,0.75,0.75,0.59,0.59,Alamo,Nevada
31,jan,55.5,28.3,0.75,0.75,0.59,0.59,Alamo,Nevada
1,feb,55.7,28.4,0.04,0.79,0,0.59,Alamo,Nevada
2,feb,55.8,28.5,0.04,0.79,0,0.59,Alamo,Nevada
3,feb,56,28.6,0.08,0.83,0,0.59,Alamo,Nevada
4,feb,56.1,28.7,0.08,0.83,0,0.59,Alamo,Nevada
5,feb,56.3,28.8,0.12,0.87,0.12,0.71,Alamo,Nevada
6,feb,56.5,28.9,0.12,0.87,0.12,0.71,Alamo,Nevada
7,feb,56.6,29,0.16,0.91,0.12,0.71,Alamo,Nevada
8,feb,56.8,29.2,0.16,0.91,0.12,0.71,Alamo,Nevada
9,feb,57,29.3,0.2,0.94,0.12,0.71,Alamo,Nevada
10,feb,57.2,29.4,0.24,0.98,0.12,0.71,Alamo,Nevada
11,feb,57.4,29.5,0.24,0.98,0.12,0.71,Alamo,Nevada
12,feb,57.6,29.7,0.28,1.02,0.12,0.71,Alamo,Nevada
13,feb,57.8,29.8,0.28,1.02,0.12,0.71,Alamo,Nevada
14,feb,58,30,0.31,1.06,0.12,0.71,Alamo,Nevada
15,feb,58.2,30.1,0.35,1.1,0.2,0.79,Alamo,Nevada
16,feb,58.4,30.3,0.35,1.1,0.2,0.79,Alamo,Nevada
