State,adopted_common_core
Alabama ,TRUE
Alaska ,FALSE
Arizona ,TRUE
Arkansas ,TRUE
California ,TRUE
Colorado ,TRUE
Connecticut ,TRUE
Delaware ,TRUE
District of Columbia ,TRUE
Florida ,FALSE
Georgia ,TRUE
Hawaii ,TRUE
Idaho ,TRUE
Illinois ,TRUE
Indiana ,FALSE
Iowa ,TRUE
Kansas ,TRUE
Kentucky ,TRUE
Louisiana ,TRUE
Maine ,TRUE
Maryland ,TRUE
Massachusetts ,TRUE
Michigan ,TRUE
Minnesota ,FALSE
Mississippi ,TRUE
Missouri ,TRUE
Montana ,TRUE
Nebraska ,FALSE
Nevada ,TRUE
New Hampshire ,TRUE
New Jersey ,TRUE
New Mexico ,TRUE
New York ,TRUE
North Carolina ,TRUE
North Dakota ,TRUE
Ohio ,TRUE
Oklahoma ,FALSE
Oregon ,TRUE
Pennsylvania ,TRUE
Rhode Island ,TRUE
South Carolina ,FALSE
South Dakota ,TRUE
Tennessee ,TRUE
Texas ,FALSE
Utah ,TRUE
Vermont ,TRUE
Virginia ,FALSE
Washington ,TRUE
West Virginia ,TRUE
Wisconsin ,TRUE
Wyoming ,TRUE
