"","State","Avg. Starting Salary"
"1","Alabama",38491
"2","Alaska",46954
"3","Arizona",34473
"4","Arkansas",33323
"5","California",46992
"6","Colorado",33483
"7","Connecticut",45922
"8","Delaware",41639
"9","District of Columbia",55209
"10","Florida",37636
"11","Georgia",35474
"12","Hawaii",46790
"13","Idaho",34801
"14","Illinois",39236
"15","Indiana",35943
"16","Iowa",37048
"17","Kansas",35769
"18","Kentucky",36752
"19","Louisiana",40303
"20","Maine",34788
"21","Maryland",45147
"22","Massachusetts",45498
"23","Michigan",36599
"24","Minnesota",38529
"25","Mississippi",34784
"26","Missouri",32226
"27","Montana",31418
"28","Nebraska",34465
"29","Nevada",39054
"30","New Hampshire",37395
"31","New Jersey",51443
"32","New Mexico",36405
"33","New York",45589
"34","North Carolina",37631
"35","North Dakota",38611
"36","Ohio",35923
"37","Oklahoma",32010
"38","Oregon",36319
"39","Pennsylvania",44647
"40","Rhode Island",41689
"41","South Carolina",33148
"42","South Dakota",38098
"43","Tennessee",37305
"44","Texas",41481
"45","Utah",38499
"46","Vermont",38499
"47","Virginia",40453
"48","Washington",42240
"49","West Virginia",33715
"50","Wisconsin",38181
"51","Wyoming",45241
