,State,1969-1970,1979-1980,189-1990,1999-2000,2009-2010,2015-2016,2016-2017
1,Alabama,43796.91881,40821.39503,47447.63275,52588.46244,53260.38054,49410.48213,48868
2,Alaska,67834.47677,85049.78244,82467.68551,66596.66772,66808.63189,68683.60497,68138
3,Arizona,55957.01962,47054.00312,56188.7908,52893.76764,52567.34958,48086.5688,47403
4,Arkansas,40514.3982,38442.75172,42715.86463,47854.0818,52285.21097,49104.96367,48616
5,California,66260.66552,56324.77323,72616.20546,68342.49746,76359.91957,78598.69739,78711
6,Colorado,49854.48619,50651.66205,58780.17915,54701.23177,55086.44433,47004.01506,46506
7,Connecticut,59496.489,50726.6784,77323.12988,74219.26423,72046.10977,73337.66951,72561
8,Delaware,57909.83031,50473.49823,63785.2279,63691.25157,63906.63474,61062.95619,60214
9,Columbia,66067.95394,69358.86337,73388.27101,67476.74938,72267.7901,77204.51482,76131
10,Florida,54036.32752,44225.26173,55044.06984,52635.76325,52294.16775,50104.00903,49407
11,Georgia,46738.98229,43300.06013,53520.96032,58800.63493,59464.0712,55186.81781,54602
12,Hawaii,60723.4194,62263.5673,61243.52693,58162.79073,61648.40625,58487.43557,57674
13,Idaho,44259.4266,42543.64531,45599.64415,50951.56789,51818.33875,46970.40803,47504
14,Illinois,61468.57085,55015.11285,62671.08379,66631.06831,69501.26427,62470.37789,61602
15,Indiana,56740.71338,48757.49931,59055.37084,59986.02178,55964.2089,51647.89565,50554
16,Iowa,53670.17551,47519.7296,51114.94414,51139.33776,55561.15374,55416.97505,55443
17,Kansas,48897.35201,42790.57411,54931.31769,50140.28741,52237.06827,48633.44684,47984
18,Kentucky,44664.12093,45384.88942,50245.41486,52145.5549,55468.22713,53092.99796,52339
19,Louisiana,45145.89988,43009.37179,46438.59657,47457.0417,54751.68463,50660.05263,50000
20,Maine,48640.40323,40855.77752,51371.02529,50971.6349,51620.16996,51426.90396,51077
21,Maryland,60273.75905,54880.70856,69407.54687,63136.54212,71621.78225,67678.44924,66961
22,Massachusetts,56297.47674,53927.37583,66336.48413,66765.80394,77557.88907,78397.05521,77804
23,Michigan,63119.46674,61460.26726,70846.57005,70297.59743,64889.64149,63168.99677,62200
24,Minnesota,55616.56249,49735.83749,61516.80756,57050.50512,58701.62519,57959.90703,57346
25,Mississippi,37244.72503,37039.32091,46423.30815,45662.4778,51102.91584,43530.27017,42925
26,Missouri,50098.58753,42765.56866,51778.07965,51107.80389,50736.8074,48839.16261,48293
27,Montana,48858.80969,45438.02599,47931.12925,46040.88425,51231.66957,51972.76361,51422
28,Nebraska,47374.93051,42246.7056,48773.90378,47640.51149,51755.64128,52331.2386,52338
29,Nevada,59194.57419,50932.97335,58459.12219,56459.96172,57686.15011,57990.45888,57376
30,New Hampshire,49918.72339,40686.99074,55393.7926,54086.32129,57595.4627,57657.44376,57253
31,New Jersey,58648.55804,53639.81317,68178.73956,74556.1033,72919.39594,70605.31609,69623
32,New Mexico,50079.31637,46532.01438,47310.0369,46661.52815,51790.3488,48030.55708,47500
33,New York,66395.56363,61925.99374,74387.75192,73129.91234,80200.13956,80607.99046,79637
34,North Carolina,48139.35312,44125.23994,53285.90075,56480.02873,52453.15062,48822.86829,49837
35,North Dakota,43013.22504,41455.90829,43984.80406,42804.36245,48102.39409,51400.4257,51618
36,Ohio,53316.87095,47726.02455,59659.2637,59392.61168,62650.44616,57479.22465,57000
37,Oklahoma,44208.03685,40968.30204,44088.00095,44861.23082,53394.73226,46108.84597,45245
38,Oregon,56644.35759,50842.3286,58936.88553,60682.63365,61828.66147,61469.29574,61631
39,Pennsylvania,56901.30637,51620.62319,63710.69681,69261.27978,66230.91949,66349.44394,65863
40,Rhode Island,56374.56138,56268.51097,68906.85089,67426.58186,66824.30625,67414.68497,66477
41,South Carolina,44497.10422,40830.77207,52013.13922,51716.98093,53189.84589,49666.09924,48598
42,South Dakota,41131.07526,38595.91009,40705.4365,41669.14311,43481.81453,42798.04426,42668
43,Tennessee,45287.22171,43672.01618,51697.81541,52071.0203,51826.17593,49103.94527,48456
44,Texas,46604.08418,44172.12515,52546.3231,53846.95055,54032.90293,52844.50962,52575
45,Utah,49102.91103,46600.77936,45265.20981,50090.11989,51372.73887,47749.4801,47244
46,Vermont,51184.19611,39021.00272,55443.47999,54120.72188,54954.33181,59984.47603,60187
47,Virginia,51839.41549,43947.07611,59124.16876,55534.01262,55996.67723,51769.08464,51049
48,Washington,59258.81138,58825.3181,58204.95209,58829.30208,59342.03506,54726.50333,54147
49,West Virginia,49141.45334,42853.08773,43652.28078,50180.42143,51455.5891,46461.21059,45701
50,Wisconsin,57575.7969,50029.65151,61002.73421,58986.97143,57395.05472,55110.43819,54998
51,Wyoming,52880.05803,50048.4056,53778.95252,48916.19989,62541.84518,59209.47753,58650
