Day,High(°F),Low(°F),Precip.month(inch),Precip.year(inch),Snowmonth(inch),Snowyear(inch),State,Precip.(inch),Snow(inch),Snowdepth(inch)
1 jan,49.6,29.1,0.16,0.16,0,0,Climate Addison - Alabama,NA,NA,NA
2 jan,49.6,29,0.31,0.31,0,0,Climate Addison - Alabama,NA,NA,NA
3 jan,49.6,28.9,0.47,0.47,0,0,Climate Addison - Alabama,NA,NA,NA
4 jan,49.6,28.8,0.63,0.63,0,0,Climate Addison - Alabama,NA,NA,NA
5 jan,49.6,28.7,0.83,0.83,0,0,Climate Addison - Alabama,NA,NA,NA
6 jan,49.6,28.7,0.98,0.98,0.12,0.12,Climate Addison - Alabama,NA,NA,NA
7 jan,49.6,28.6,1.14,1.14,0.12,0.12,Climate Addison - Alabama,NA,NA,NA
8 jan,49.7,28.6,1.3,1.3,0.12,0.12,Climate Addison - Alabama,NA,NA,NA
9 jan,49.7,28.6,1.42,1.42,0.12,0.12,Climate Addison - Alabama,NA,NA,NA
10 jan,49.7,28.6,1.57,1.57,0.12,0.12,Climate Addison - Alabama,NA,NA,NA
11 jan,49.8,28.5,1.73,1.73,0.12,0.12,Climate Addison - Alabama,NA,NA,NA
12 jan,49.8,28.5,1.93,1.93,0.2,0.2,Climate Addison - Alabama,NA,NA,NA
13 jan,49.9,28.6,2.09,2.09,0.2,0.2,Climate Addison - Alabama,NA,NA,NA
14 jan,50,28.6,2.24,2.24,0.2,0.2,Climate Addison - Alabama,NA,NA,NA
15 jan,50,28.6,2.4,2.4,0.2,0.2,Climate Addison - Alabama,NA,NA,NA
16 jan,50.1,28.7,2.56,2.56,0.2,0.2,Climate Addison - Alabama,NA,NA,NA
17 jan,50.2,28.7,2.76,2.76,0.2,0.2,Climate Addison - Alabama,NA,NA,NA
18 jan,50.3,28.8,2.91,2.91,0.31,0.31,Climate Addison - Alabama,NA,NA,NA
19 jan,50.4,28.8,3.07,3.07,0.31,0.31,Climate Addison - Alabama,NA,NA,NA
20 jan,50.5,28.9,3.23,3.23,0.31,0.31,Climate Addison - Alabama,NA,NA,NA
21 jan,50.5,29,3.43,3.43,0.31,0.31,Climate Addison - Alabama,NA,NA,NA
22 jan,50.6,29.1,3.58,3.58,0.31,0.31,Climate Addison - Alabama,NA,NA,NA
23 jan,50.7,29.2,3.74,3.74,0.31,0.31,Climate Addison - Alabama,NA,NA,NA
24 jan,50.8,29.3,3.9,3.9,0.31,0.31,Climate Addison - Alabama,NA,NA,NA
25 jan,51,29.4,4.06,4.06,0.31,0.31,Climate Addison - Alabama,NA,NA,NA
26 jan,51.1,29.5,4.21,4.21,0.39,0.39,Climate Addison - Alabama,NA,NA,NA
27 jan,51.2,29.6,4.37,4.37,0.39,0.39,Climate Addison - Alabama,NA,NA,NA
28 jan,51.3,29.7,4.53,4.53,0.39,0.39,Climate Addison - Alabama,NA,NA,NA
29 jan,51.4,29.9,4.69,4.69,0.39,0.39,Climate Addison - Alabama,NA,NA,NA
30 jan,51.5,30,4.88,4.88,0.39,0.39,Climate Addison - Alabama,NA,NA,NA
31 jan,51.7,30.2,5.04,5.04,0.39,0.39,Climate Addison - Alabama,NA,NA,NA
1 feb,51.8,30.3,0.2,5.24,0,0.39,Climate Addison - Alabama,NA,NA,NA
2 feb,51.9,30.5,0.39,5.43,0,0.39,Climate Addison - Alabama,NA,NA,NA
3 feb,52.1,30.6,0.59,5.63,0,0.39,Climate Addison - Alabama,NA,NA,NA
4 feb,52.2,30.8,0.79,5.83,0,0.39,Climate Addison - Alabama,NA,NA,NA
5 feb,52.4,31,0.98,5.98,0,0.39,Climate Addison - Alabama,NA,NA,NA
6 feb,52.5,31.1,1.14,6.18,0,0.39,Climate Addison - Alabama,NA,NA,NA
7 feb,52.7,31.3,1.34,6.38,0,0.39,Climate Addison - Alabama,NA,NA,NA
8 feb,52.9,31.5,1.54,6.57,0,0.39,Climate Addison - Alabama,NA,NA,NA
9 feb,53.1,31.7,1.69,6.73,0,0.39,Climate Addison - Alabama,NA,NA,NA
10 feb,53.2,31.9,1.89,6.93,0,0.39,Climate Addison - Alabama,NA,NA,NA
11 feb,53.4,32.1,2.05,7.09,0,0.39,Climate Addison - Alabama,NA,NA,NA
12 feb,53.6,32.3,2.2,7.24,0,0.39,Climate Addison - Alabama,NA,NA,NA
13 feb,53.8,32.5,2.4,7.4,0,0.39,Climate Addison - Alabama,NA,NA,NA
14 feb,54,32.7,2.6,7.6,0,0.39,Climate Addison - Alabama,NA,NA,NA
15 feb,54.3,32.9,2.76,7.8,0,0.39,Climate Addison - Alabama,NA,NA,NA
16 feb,54.5,33.1,2.95,7.99,0,0.39,Climate Addison - Alabama,NA,NA,NA
17 feb,54.7,33.3,3.15,8.19,0,0.39,Climate Addison - Alabama,NA,NA,NA
18 feb,55,33.5,3.35,8.35,0,0.39,Climate Addison - Alabama,NA,NA,NA
19 feb,55.2,33.8,3.5,8.54,0,0.39,Climate Addison - Alabama,NA,NA,NA
20 feb,55.5,34,3.7,8.74,0,0.39,Climate Addison - Alabama,NA,NA,NA
21 feb,55.8,34.2,3.9,8.94,0,0.39,Climate Addison - Alabama,NA,NA,NA
22 feb,56,34.4,4.09,9.13,0,0.39,Climate Addison - Alabama,NA,NA,NA
23 feb,56.3,34.7,4.29,9.33,0,0.39,Climate Addison - Alabama,NA,NA,NA
24 feb,56.6,34.9,4.53,9.53,0,0.39,Climate Addison - Alabama,NA,NA,NA
25 feb,56.9,35.2,4.72,9.72,0,0.39,Climate Addison - Alabama,NA,NA,NA
26 feb,57.2,35.4,4.88,9.92,0,0.39,Climate Addison - Alabama,NA,NA,NA
27 feb,57.5,35.6,5.08,10.12,0,0.39,Climate Addison - Alabama,NA,NA,NA
28 feb,57.8,35.9,5.28,10.31,0,0.39,Climate Addison - Alabama,NA,NA,NA
29 feb,58,36,0,0,0,0,Climate Addison - Alabama,NA,NA,NA
1 mar,58.1,36.1,0.16,10.47,0,0.39,Climate Addison - Alabama,NA,NA,NA
2 mar,58.5,36.4,0.35,10.67,0,0.39,Climate Addison - Alabama,NA,NA,NA
3 mar,58.8,36.6,0.51,10.83,0,0.39,Climate Addison - Alabama,NA,NA,NA
4 mar,59.1,36.9,0.67,10.98,0,0.39,Climate Addison - Alabama,NA,NA,NA
5 mar,59.5,37.1,0.83,11.14,0,0.39,Climate Addison - Alabama,NA,NA,NA
6 mar,59.8,37.4,1.02,11.34,0,0.39,Climate Addison - Alabama,NA,NA,NA
7 mar,60.1,37.6,1.18,11.5,0,0.39,Climate Addison - Alabama,NA,NA,NA
8 mar,60.5,37.9,1.34,11.65,0,0.39,Climate Addison - Alabama,NA,NA,NA
9 mar,60.8,38.1,1.54,11.85,0,0.39,Climate Addison - Alabama,NA,NA,NA
10 mar,61.2,38.4,1.69,12.01,0,0.39,Climate Addison - Alabama,NA,NA,NA
11 mar,61.5,38.6,1.85,12.17,0,0.39,Climate Addison - Alabama,NA,NA,NA
12 mar,61.9,38.9,2.05,12.36,0,0.39,Climate Addison - Alabama,NA,NA,NA
13 mar,62.2,39.1,2.2,12.52,0,0.39,Climate Addison - Alabama,NA,NA,NA
14 mar,62.5,39.4,2.36,12.72,0,0.39,Climate Addison - Alabama,NA,NA,NA
15 mar,62.9,39.6,2.56,12.87,0,0.39,Climate Addison - Alabama,NA,NA,NA
16 mar,63.2,39.9,2.72,13.03,0,0.39,Climate Addison - Alabama,NA,NA,NA
17 mar,63.5,40.2,2.91,13.23,0,0.39,Climate Addison - Alabama,NA,NA,NA
18 mar,63.9,40.4,3.07,13.39,0,0.39,Climate Addison - Alabama,NA,NA,NA
19 mar,64.2,40.7,3.23,13.54,0,0.39,Climate Addison - Alabama,NA,NA,NA
20 mar,64.5,40.9,3.43,13.74,0,0.39,Climate Addison - Alabama,NA,NA,NA
21 mar,64.8,41.2,3.58,13.9,0,0.39,Climate Addison - Alabama,NA,NA,NA
22 mar,65.1,41.4,3.78,14.09,0,0.39,Climate Addison - Alabama,NA,NA,NA
23 mar,65.5,41.7,3.94,14.25,0,0.39,Climate Addison - Alabama,NA,NA,NA
24 mar,65.8,41.9,4.09,14.45,0,0.39,Climate Addison - Alabama,NA,NA,NA
25 mar,66,42.2,4.29,14.61,0,0.39,Climate Addison - Alabama,NA,NA,NA
26 mar,66.3,42.4,4.45,14.76,0,0.39,Climate Addison - Alabama,NA,NA,NA
27 mar,66.6,42.7,4.61,14.92,0,0.39,Climate Addison - Alabama,NA,NA,NA
28 mar,66.9,42.9,4.76,15.08,0,0.39,Climate Addison - Alabama,NA,NA,NA
29 mar,67.2,43.2,4.92,15.24,0,0.39,Climate Addison - Alabama,NA,NA,NA
30 mar,67.4,43.4,5.08,15.39,0,0.39,Climate Addison - Alabama,NA,NA,NA
31 mar,67.7,43.7,5.24,15.55,0,0.39,Climate Addison - Alabama,NA,NA,NA
1 apr,68,44,0.16,15.75,0,0.39,Climate Addison - Alabama,NA,NA,NA
