"","year","state_id","state_abbr","State","population","violent_crime","homicide","rape_legacy","rape_revised","robbery","aggravated_assault","property_crime","burglary","larceny","motor_vehicle_theft","total"
"1",2017,1,"AK","Alaska",739795,6133,62,0,863,951,4257,26204,4171,17775,4258,64674
"2",2017,2,"AL","Alabama",4874747,25551,404,0,2028,4217,18902,144160,31477,99842,12841,339422
"3",2017,3,"AR","Arkansas",3004279,16671,258,0,2053,1935,12425,92489,21862,63374,7253,218320
"4",2017,5,"AZ","Arizona",7016270,35644,416,0,3581,7440,24207,204515,37627,147830,19058,480318
"5",2017,6,"CA","California",39536653,177627,1830,0,14721,56622,104454,987114,176690,642033,168391,2329482
"6",2017,7,"CO","Colorado",5607154,20638,221,0,3858,3838,12721,151483,22813,106809,21861,344242
"7",2017,8,"CT","Connecticut",3588184,8180,102,0,837,2813,4428,63509,8890,47310,7309,143378
"8",2017,10,"DC","District of Columbia",693972,6974,116,0,444,2623,3791,29729,1809,25333,2587,73406
"9",2017,11,"DE","Delaware",961939,4361,54,0,334,1082,2891,23477,3970,18138,1369,55676
"10",2017,12,"FL","Florida",20984400,85625,1057,0,7940,18597,58031,527220,88853,395453,42914,1225690
"11",2017,13,"GA","Georgia",10429379,37258,703,0,2718,10044,23793,298298,55374,216661,26263,671112
"12",2017,15,"HI","Hawaii",1427538,3577,39,0,567,1077,1894,40392,5549,29574,5269,87938
"13",2017,16,"IA","Iowa",3145711,9230,104,0,1234,1253,6639,66855,15078,46198,5579,152170
"14",2017,17,"ID","Idaho",1716943,3888,32,0,707,196,2953,28079,5655,20278,2146,63934
"15",2017,18,"IL","Illinois",12802023,56180,997,0,5556,17567,32060,257497,43459,193157,20881,627354
"16",2017,19,"IN","Indiana",6666818,26598,397,0,2625,6600,16976,161132,30140,115591,15401,375460
"17",2017,20,"KS","Kansas",2913123,12030,160,0,1627,1785,8458,81593,13931,59816,7846,187246
"18",2017,21,"KY","Kentucky",4454189,10056,263,0,1661,2958,5174,94833,20195,64394,10244,209778
"19",2017,22,"LA","Louisiana",4684333,26092,582,0,1867,5358,18285,157712,34265,112485,10962,367608
"20",2017,23,"MA","Massachusetts",6859819,24560,173,0,2197,4871,17319,98575,17089,73946,7540,246270
"21",2017,24,"MD","Maryland",6052177,30273,546,0,1691,11200,16836,134496,23508,97420,13568,329538
"22",2017,25,"ME","Maine",1335907,1617,23,0,473,249,872,20133,3334,16006,793,43500
"23",2017,26,"MI","Michigan",9962311,44826,569,0,7031,6488,30738,179318,35641,124104,19573,448288
"24",2017,27,"MN","Minnesota",5576606,13291,113,0,2385,3621,7172,122212,18787,93446,9979,271006
"25",2017,28,"MO","Missouri",6113532,32420,600,0,2729,6351,22740,173253,30081,123251,19921,411346
"26",2017,29,"MS","Mississippi",2984100,8526,245,0,1091,2071,5119,81581,24710,52240,4631,180214
"27",2017,30,"MT","Montana",1050493,3961,41,0,613,295,3012,27225,3615,21018,2592,62372
"28",2017,32,"NC","North Carolina",10273419,37364,591,0,2715,9350,24708,261486,64786,180902,15798,597700
"29",2017,33,"ND","North Dakota",755393,2125,10,0,399,183,1533,16602,2942,11887,1773,37454
"30",2017,31,"NE","Nebraska",1920076,5873,43,0,1191,968,3671,43663,6472,31988,5203,99072
"31",2017,34,"NH","New Hampshire",1342795,2668,14,0,663,419,1572,18555,2574,15066,915,42446
"32",2017,35,"NJ","New Jersey",9005644,20604,324,0,1505,7895,10880,140086,23891,104025,12170,321380
"33",2017,36,"NM","New Mexico",2088070,16359,148,0,1259,3722,11230,82306,17917,52617,11772,197330
"34",2017,37,"NV","Nevada",2998039,16667,274,0,1890,4841,9662,78322,20049,45461,12812,189978
"35",2017,38,"NY","New York",19849399,70799,548,0,6324,20108,43819,300555,35002,252143,13410,742708
"36",2017,39,"OH","Ohio",11658609,34683,710,0,5859,11605,16509,282034,58573,203208,20253,633434
"37",2017,40,"OK","Oklahoma",3930864,17934,242,0,2142,3000,12550,113066,28608,72207,12251,262000
"38",2017,41,"OR","Oregon",4142776,11674,104,0,1999,2432,7139,123722,17705,88877,17140,270792
"39",2017,42,"PA","Pennsylvania",12805537,40120,739,0,4201,11793,23387,211220,32057,166178,12985,502680
"40",2017,44,"RI","Rhode Island",1059639,2460,20,0,445,474,1521,18561,3217,13861,1483,42042
"41",2017,45,"SC","South Carolina",5024369,25432,390,0,2504,3870,18668,160575,31306,115012,14257,372014
"42",2017,46,"SD","South Dakota",869666,3771,25,0,595,238,2913,16317,2707,12227,1383,40176
"43",2017,47,"TN","Tennessee",6715984,43755,527,0,2934,7862,32432,197488,38716,140248,18524,482486
"44",2017,48,"TX","Texas",28304596,124238,1412,0,14470,32267,76089,725328,134066,523221,68041,1699132
"45",2017,49,"UT","Utah",3101833,7410,73,0,1697,1468,4172,86238,11817,64892,9529,187296
"46",2017,51,"VA","Virginia",8470020,17632,453,0,2862,4332,9985,151855,18468,123215,10172,338974
"47",2017,52,"VT","Vermont",623657,1034,14,0,218,92,710,8960,1854,6912,194,19988
"48",2017,53,"WA","Washington",7405743,22548,230,0,3255,5390,13673,235027,43720,162511,28796,515150
"49",2017,54,"WI","Wisconsin",5795483,18539,186,0,2139,4345,11869,104802,17599,77735,9468,246682
"50",2017,55,"WV","West Virginia",1815857,6368,85,0,795,524,4964,33630,7628,23000,3002,79996
"51",2017,56,"WY","Wyoming",579315,1376,15,0,263,76,1022,10604,1593,8232,779,23960
