City,State_Abbr,Salary,State
Saco,ME,56856,Maine
Windham,ME,56932,Maine
Abbot,ME,51545,Maine
Acton,ME,57723,Maine
Addison,ME,51545,Maine
Albion,ME,51545,Maine
Alfred,ME,57321,Maine
Alna,ME,56400,Maine
Andover,ME,56400,Maine
Anson,ME,51545,Maine
Ashland,ME,51545,Maine
Athens,ME,51545,Maine
Auburn,ME,56400,Maine
Augusta,ME,53973,Maine
Aurora,ME,51583,Maine
Bailey Island,ME,56818,Maine
Baileyville,ME,51545,Maine
Bangor,ME,52116,Maine
Bar Harbor,ME,51545,Maine
Bar Mills,ME,56818,Maine
Bass Harbor,ME,51545,Maine
Bath,ME,56400,Maine
Beals,ME,51545,Maine
Belfast,ME,51545,Maine
Belgrade,ME,53973,Maine
Belgrade Lakes,ME,51545,Maine
Benedicta,ME,51545,Maine
Bernard,ME,51545,Maine
Berwick,ME,58263,Maine
Bethel,ME,56400,Maine
Biddeford,ME,56704,Maine
Biddeford Pool,ME,56742,Maine
Bingham,ME,51545,Maine
Birch Harbor,ME,51545,Maine
Blaine,ME,51545,Maine
Blue Hill,ME,51545,Maine
Boothbay,ME,56400,Maine
Boothbay Harbor,ME,56400,Maine
Bowdoin,ME,56400,Maine
Bowdoinham,ME,56400,Maine
Bradford,ME,51887,Maine
Bradley,ME,52116,Maine
Bremen,ME,56400,Maine
Brewer,ME,52116,Maine
Bridgewater,ME,51545,Maine
Bridgton,ME,56400,Maine
Bristol,ME,56400,Maine
Brooklin,ME,51545,Maine
Brooks,ME,51545,Maine
Brooksville,ME,51545,Maine
Brookton,ME,51545,Maine
Brownfield,ME,56400,Maine
Brownville,ME,51545,Maine
Brownville Junction,ME,51545,Maine
Brunswick,ME,56476,Maine
Bryant Pond,ME,56400,Maine
Buckfield,ME,56400,Maine
Bucksport,ME,51849,Maine
Burlington,ME,51545,Maine
Burnham,ME,51545,Maine
Bustins Island,ME,56856,Maine
Buxton,ME,56704,Maine
Calais,ME,51545,Maine
Cambridge,ME,51545,Maine
Camden,ME,51545,Maine
Canaan,ME,51545,Maine
Canton,ME,56400,Maine
Cape Elizabeth,ME,56970,Maine
Cape Neddick,ME,58343,Maine
Cape Porpoise,ME,57166,Maine
Caratunk,ME,51545,Maine
Caribou,ME,51545,Maine
Carmel,ME,52001,Maine
Casco,ME,56400,Maine
Castine,ME,51545,Maine
Center Lovell,ME,56400,Maine
Chamberlain,ME,56400,Maine
Charleston,ME,51735,Maine
Chebeague Island,ME,56970,Maine
Cherryfield,ME,51545,Maine
China Village,ME,51545,Maine
Clayton Lake,ME,51545,Maine
Cliff Island,ME,56970,Maine
Clinton,ME,51545,Maine
Columbia Falls,ME,51545,Maine
Coopers Mills,ME,53973,Maine
Corea,ME,51545,Maine
Corinna,ME,51621,Maine
Corinth,ME,52001,Maine
Cornish,ME,56400,Maine
Cranberry Isles,ME,51545,Maine
Crouseville,ME,51545,Maine
Cumberland Center,ME,56970,Maine
Cumberland Foreside,ME,56970,Maine
Cushing,ME,56400,Maine
Cutler,ME,51545,Maine
Damariscotta,ME,56400,Maine
Danforth,ME,51545,Maine
Danville,ME,56400,Maine
Deer Isle,ME,51545,Maine
Denmark,ME,56400,Maine
Dennysville,ME,51545,Maine
Detroit,ME,51583,Maine
Dexter,ME,51545,Maine
Dixfield,ME,56400,Maine
Dixmont,ME,51698,Maine
