No.,State,"Area
(km²)",Area (sq mi),Census Region
30,Alabama,"135,767","52,420",East South Central
1,Alaska,"1,723,336","665,384",Pacific
6,Arizona,"295,233","113,990",Mountain
29,Arkansas,"137,730","53,178",West South Central
3,California,"423,968","163,695",Pacific
8,Colorado,"269,602","104,094",Mountain
48,Connecticut,"14,356","5,543",New England
49,Delaware,"6,446","2,489",South Atlantic
22,Florida,"170,312","65,758",South Atlantic
24,Georgia,"153,910","59,425",South Atlantic
43,Hawaii,"28,313","10,932",Pacific
14,Idaho,"216,443","83,569",Mountain
25,Illinois,"149,994","57,913",East North Central
38,Indiana,"94,327","36,420",East North Central
26,Iowa,"145,744","56,272",West North Central
15,Kansas,"213,099","82,278",West North Central
37,Kentucky,"104,656","40,408",East South Central
31,Louisiana,"135,658","52,378",West South Central
39,Maine,"91,634","35,380",New England
42,Maryland,"32,131","12,406",South Atlantic
44,Massachusetts,"27,335","10,554",New England
11,Michigan,"250,485","96,713",East North Central
12,Minnesota,"225,163","86,936",West North Central
32,Mississippi,"125,438","48,432",East South Central
21,Missouri,"180,540","69,707",West North Central
4,Montana,"380,832","147,040",Mountain
16,Nebraska,"200,330","77,348",West North Central
7,Nevada,"286,380","110,572",Mountain
46,New Hampshire,"24,214","9,349",New England
47,New Jersey,"22,590","8,722",Middle Atlantic
5,New Mexico,"314,917","121,590",Mountain
27,New York,"141,297","54,555",Middle Atlantic
28,North Carolina,"139,390","53,819",South Atlantic
19,North Dakota,"183,107","70,698",West North Central
34,Ohio,"116,096","44,825",East North Central
20,Oklahoma,"181,038","69,899",West South Central
9,Oregon,"254,800","98,379",Pacific
33,Pennsylvania,"119,279","46,054",Middle Atlantic
50,Rhode Island,"3,999","1,544",New England
40,South Carolina,"82,931","32,020",South Atlantic
17,South Dakota,"199,730","77,116",West North Central
36,Tennessee,"109,152","42,144",East South Central
2,Texas,"695,660","268,596",West South Central
13,Utah,"219,882","84,897",Mountain
45,Vermont,"24,905","9,616",New England
35,Virginia,"110,787","42,775",South Atlantic
18,Washington,"184,661","71,298",Pacific
41,West Virginia,"62,755","24,230",South Atlantic
23,Wisconsin,"169,634","65,496",East North Central
10,Wyoming,"253,334","97,813",Mountain
,District of Columbia,177,68,South Atlantic
