Day,Month,High(°F),Low(°F),Precip.month(inch),Precip.year(inch),Snowmonth(inch),Snowyear(inch),City,State
1,jan,43.5,34.6,0,0,0,0,Amanda Park,Washington
2,jan,43.6,34.6,0,0,0,0,Amanda Park,Washington
3,jan,43.6,34.7,0,0,0,0,Amanda Park,Washington
4,jan,43.7,34.8,0,0,0,0,Amanda Park,Washington
5,jan,43.7,34.9,0,0,0,0,Amanda Park,Washington
6,jan,43.8,34.9,0,0,0,0,Amanda Park,Washington
7,jan,43.8,35,0,0,0,0,Amanda Park,Washington
8,jan,43.9,35,0,0,0,0,Amanda Park,Washington
9,jan,43.9,35.1,0,0,0,0,Amanda Park,Washington
10,jan,44,35.2,0,0,0,0,Amanda Park,Washington
11,jan,44.1,35.2,0,0,0,0,Amanda Park,Washington
12,jan,44.1,35.2,0,0,0,0,Amanda Park,Washington
13,jan,44.2,35.3,0,0,0,0,Amanda Park,Washington
14,jan,44.3,35.3,0,0,0,0,Amanda Park,Washington
15,jan,44.3,35.3,0,0,0,0,Amanda Park,Washington
16,jan,44.4,35.3,0,0,0,0,Amanda Park,Washington
17,jan,44.5,35.3,0,0,0,0,Amanda Park,Washington
18,jan,44.6,35.3,0,0,0,0,Amanda Park,Washington
19,jan,44.6,35.3,0,0,0,0,Amanda Park,Washington
20,jan,44.7,35.3,0,0,0,0,Amanda Park,Washington
21,jan,44.8,35.3,0,0,0,0,Amanda Park,Washington
22,jan,44.9,35.3,0,0,0,0,Amanda Park,Washington
23,jan,45,35.2,0,0,0,0,Amanda Park,Washington
24,jan,45.1,35.2,0,0,0,0,Amanda Park,Washington
25,jan,45.2,35.2,0,0,0,0,Amanda Park,Washington
26,jan,45.3,35.1,0,0,0,0,Amanda Park,Washington
27,jan,45.4,35.1,0,0,0,0,Amanda Park,Washington
28,jan,45.5,35.1,0,0,0,0,Amanda Park,Washington
29,jan,45.6,35,0,0,0,0,Amanda Park,Washington
30,jan,45.7,35,0,0,0,0,Amanda Park,Washington
31,jan,45.8,34.9,0,0,0,0,Amanda Park,Washington
1,feb,46,34.9,0,0,0,0,Amanda Park,Washington
2,feb,46.1,34.8,0,0,0,0,Amanda Park,Washington
3,feb,46.2,34.8,0,0,0,0,Amanda Park,Washington
4,feb,46.4,34.7,0,0,0,0,Amanda Park,Washington
5,feb,46.5,34.7,0,0,0,0,Amanda Park,Washington
6,feb,46.7,34.6,0,0,0,0,Amanda Park,Washington
7,feb,46.8,34.6,0,0,0,0,Amanda Park,Washington
8,feb,47,34.5,0,0,0,0,Amanda Park,Washington
9,feb,47.1,34.5,0,0,0,0,Amanda Park,Washington
10,feb,47.3,34.5,0,0,0,0,Amanda Park,Washington
11,feb,47.5,34.5,0,0,0,0,Amanda Park,Washington
